LAT,LON
34.0962,-118.3834
34.0981,-118.3158
34.1016,-118.3252
34.1016,-118.3452
34.1,-118.3113
34.0926,-118.3332
34.1041,-118.3433
34.1016,-118.3361
34.0987,-118.3337
34.1145,-118.3312
34.1079,-118.3337
34.0987,-118.3337
34.098,-118.3742
34.1074,-118.3332
34.0864,-118.3059
34.098,-118.3468
34.0876,-118.3114
34.1032,-118.3374
34.1081,-118.3636
34.1017,-118.3237
34.1131,-118.341
34.0998,-118.3267
34.0943,-118.331
34.0889,-118.331
34.0932,-118.3266
34.0981,-118.3056
34.098,-118.3324
0,0
34.0835,-118.3266
34.093,-118.3068
34.1001,-118.3092
34.0944,-118.3125
34.0944,-118.3125
34.1034,-118.3325
34.0943,-118.331
34.1052,-118.3213
34.0962,-118.3381
34.0917,-118.3915
34.0981,-118.3056
34.1016,-118.3391
34.103,-118.3225
34.1146,-118.3607
34.103,-118.3402
34.1016,-118.3267
34.0993,-118.3092
34.0864,-118.3059
34.1016,-118.3489
34.098,-118.342
34.1016,-118.3252
34.1016,-118.3333
34.1046,-118.3489
34.0943,-118.331
34.1016,-118.3252
34.0938,-118.3864
34.0914,-118.3866
34.103,-118.3402
34.0943,-118.331
34.1016,-118.3452
34.0998,-118.3468
34.1016,-118.3252
34.1016,-118.3321
34.0962,-118.3483
34.1052,-118.3243
34.1131,-118.341
34.1267,-118.3316
34.098,-118.3496
34.0997,-118.3387
34.1084,-118.3213
34.098,-118.331
34.1036,-118.3049
34.1016,-118.3452
34.098,-118.342
34.1195,-118.3163
34.0986,-118.388
34.0926,-118.3428
34.098,-118.342
34.1016,-118.3458
34.0885,-118.3078
34.104,-118.3755
34.0944,-118.3125
34.1034,-118.3325
34.0944,-118.3375
34.1032,-118.3348
34.1005,-118.3107